filename,idx,eng,CP1,CP2,H_donor,H_accep,HB,ionCRD,cc,co,numHB,numSHB,numCRD,C_O,pt_len,dih_gs1,dih_gs2,cp1p,cp1t,cp2p,cp2t,freq,unphy,HB_info,bond_brk,bond_uexp,CP1_f,CP2_f,H_donor_f,H_accep_f,HB_f,ionCRD_f,numHB_f,numCRD_f,C_O_f,pt_len_f,dih_gs1_f,dih_gs2_f,cp1p_f,cp1t_f,cp2p_f,cp2t_f,HB_info_f,E
aMal259_TSdh_nn_091_2,3909,-1459.8898,25B,5S1,1,2,"[6_0,9_50]","[1,11,0,50]",-1,2,2,0,4,2.237,"[1.888, 0.947]",83.0,105.0,106.1,99.2,83.3,89.3,0,0,"[[8.03,5.74,107.1],[7.67,5.02,113.5]]","[[[1, 1],'H_O',1.888,'OH'],[[2, 2],'C_O',2.237,'CO']]",[],25B,3S1,1,2,[6_0],"[1,9,11,0,50]",1,5,2.24,"[1.735, 0.97]",92.5,78.6,105.6,98.7,25.2,88.5,"[[8.42,6.42,102.7]]",358.1
aMal434_TSdh_nn_067_1,3271,-1459.8946,4C1,1C4,3,2,[9_11],"[3,9,50]",3,2,1,1,3,2.116,"[2.406, 0.94]",278.6,30.0,151.5,10.5,256.4,173.9,0,0,"[[7.95,4.18,135.7]]","[[[3, 4],'C_C',1.762,'bb'],[[2, 2],'C_O',2.116,'CO'],[[3, 3],'H_O',2.406,'OH']]",[],4C1,1C4,3,2,[9_11],"[3,9,7,50]",1,4,2.097,"[2.287, 0.945]",278.8,76.8,175.6,10.6,267.0,167.8,"[[7.27,3.69,135.1]]",345.5
aMal208_TSdh_nn_332_1,3755,-1459.8911,1S3,1C4,1,2,"[10_13,11_9]","[1,0]",-1,2,2,0,2,2.1069999999999998,"[2.198, 0.942]",67.6,15.0,196.4,87.7,80.2,179.3,0,0,"[[9.34,5.67,126.6],[7.9,4.36,130.3]]","[[[1, 1],'H_O',2.198,'OH'],[[2, 2],'C_O',2.107,'CO']]",[],5H4,1C4,1,2,"[3_6,9_11,10_13]","[1,9,0,50]",3,4,2.271,"[1.729, 0.978]",87.3,78.8,90.8,123.0,2.9,175.1,"[[7.82,3.6,152.8],[7.23,3.48,140.8],[8.28,4.79,127.1]]",354.7
aMal13_TSdh_nn_181_1,6082,-1459.8652,1HO,OS2,1,2,"[2_50,9_11,13_7]","[1,2,0]",-1,2,3,2,3,2.274,"[3.547, 0.93]",163.0,195.0,191.8,153.0,334.9,92.5,0,0,"[[7.54,3.53,146.4],[8.0,3.97,143.7],[7.48,5.23,107.3]]","[[[1, 1],'H_O',3.547,'OH'],[[2, 2],'C_O',2.274,'CO']]",[],EO,3OB,1,2,"[2_9,2_50,9_11,10_13,10_7]","[1,2,0]",5,3,2.356,"[3.367, 0.929]",79.7,86.7,184.7,149.5,2.9,94.7,"[[7.47,3.12,165.3],[8.57,5.35,119.5],[7.58,3.69,142.4],[8.1,3.73,156.4],[8.17,6.34,100.5]]",422.7
aMal408_TSdh_nn_064_1,5507,-1459.8734,5S1,4C1,3,6,"[1_50,2_1,3_6,9_50,10_11]","[2,3]",-1,6,5,2,2,2.206,"[1.495, 1.082]",163.5,135.0,83.9,89.5,261.7,4.6,0,0,"[[7.55,3.58,145.7],[8.61,6.22,107.6],[6.32,1.08,164.9],[7.32,5.11,107.2],[7.82,5.72,104.7]]","[[[3, 3],'H_O',1.495,'OH'],[[6, 6],'C_O',2.206,'CO']]",[],5S1,4C1,3,6,"[1_50,2_1,3_6,9_10,10_11]","[2,3]",5,2,2.206,"[1.487, 1.082]",190.4,183.0,86.3,90.6,225.2,1.6,"[[7.68,3.74,143.1],[8.36,5.88,109.2],[6.3,1.08,166.4],[7.67,5.29,109.0],[8.11,6.21,101.6]]",401.2
aMal352_TSdh_nn_339_0,3964,-1459.8894,5S1,5S1,1,2,"[3_6,13_7]","[1,0,50]",-1,2,2,0,3,2.191,"[1.747, 0.966]",80.1,60.0,104.8,94.2,86.1,83.1,0,0,"[[8.01,4.93,120.2],[7.38,4.79,113.0]]","[[[1, 1],'H_O',1.747,'OH'],[[2, 2],'C_O',2.191,'CO']]",[],5S1,5S1,1,2,"[3_6,13_7]","[1,9,0,50]",2,4,2.206,"[1.67, 0.981]",70.6,36.1,104.9,92.4,89.3,84.2,"[[8.2,5.25,117.3],[7.69,5.54,105.6]]",359.2
aMal398_TSdh_nn_324_0,2448,-1459.9021,1S3,1S3,1,2,[10_11],"[1,0]",-1,2,1,0,2,2.137,"[2.088, 0.948]",79.7,60.0,198.1,86.5,211.9,87.3,0,0,"[[7.65,5.41,107.0]]","[[[1, 1],'H_O',2.088,'OH'],[[2, 2],'C_O',2.137,'CO']]",[],5H4,4C1,1,2,"[2_9,2_50,3_6]","[1,11,0]",3,3,2.001,"[2.536, 0.936]",147.5,65.5,74.6,136.8,116.8,10.8,"[[8.11,3.53,169.1],[7.53,5.13,109.0],[8.01,4.18,137.0]]",325.8
aMal356_TSdh_nn_025_1,15,-1459.9412,3E,3S1,2,1,"[2_1,9_50,13_10]","[1,2,11,50]",-1,1,3,2,4,2.296,"[1.327, 1.192]",151.5,150.0,11.7,115.1,29.7,84.2,0,0,"[[5.5,1.19,151.4],[7.46,4.7,116.1],[7.72,3.94,138.3]]","[[[1, 1],'C_O',2.296,'CO'],[[2, 2],'H_O',1.327,'OH']]",[],3E,3S1,2,1,"[2_1,10_13,11_1]","[2,9,11,50]",3,4,2.332,"[1.349, 1.172]",158.8,83.0,14.4,119.9,25.3,87.9,"[[5.73,1.17,159.8],[7.59,3.34,158.7],[7.55,3.41,152.5]]",223.2
aMal8_TSdh_nn_184_0,3186,-1459.8955,3S1,3S1,1,2,"[1_2,3_0,6_0,9_11,9_50]","[1,2,9,50]",-1,2,5,1,4,2.164,"[1.388, 1.126]",87.0,60.0,16.2,77.1,20.8,91.4,0,0,"[[5.53,1.13,147.3],[6.62,3.6,123.9],[7.9,6.11,100.4],[8.73,5.63,118.3],[6.77,4.99,101.4]]","[[[1, 1],'H_O',1.388,'OH'],[[2, 2],'C_O',2.164,'CO']]",[],3S1,OS2,1,2,"[1_2,3_0,6_0,9_11,11_13]","[1,2,9,50]",5,4,2.157,"[1.374, 1.137]",142.7,49.3,19.0,76.1,327.7,94.9,"[[5.53,1.14,149.0],[6.62,3.58,124.3],[8.18,6.33,101.0],[7.77,3.85,141.2],[8.22,4.87,124.4]]",343.2
aMal347_TSdh_nn_020_0,860,-1459.9171,5S1,1C4,1,2,"[1_2,6_3,9_50,11_9]","[1,0,50]",-1,2,4,2,3,2.099,"[1.424, 1.091]",78.3,60.0,104.2,102.2,246.6,174.6,0,0,"[[5.69,1.09,149.8],[6.58,4.38,108.2],[7.33,4.82,111.8],[7.93,4.11,137.5]]","[[[1, 1],'H_O',1.424,'OH'],[[2, 2],'C_O',2.099,'CO']]",[],25B,1C4,1,2,"[1_2,6_3,9_11,10_13]","[1,9,0,50]",4,4,2.109,"[1.404, 1.108]",136.3,59.1,108.8,101.7,317.0,174.6,"[[5.66,1.11,151.0],[6.73,4.31,111.5],[7.13,3.28,145.6],[8.33,4.86,126.6]]",286.4
